,Price,Bathrooms
0,320000,2.0
1,7000000,
2,3000000,
3,2699999,
4,2400000,38.0
5,2250000,3.0
6,2000000,
7,1800000,16.0
8,1700000,16.0
9,1700000,8.0
10,1699950,5.0
11,1600000,
12,1600000,4.0
13,1500000,
14,1500000,2.0
15,1500000,
16,1300000,4.0
17,1295000,
18,1287000,7.0
19,1250000,3.0
20,1250000,3.0
21,1244000,4.0
22,1200000,3.0
23,1150000,3.0
24,1150000,
25,150000,1.0
26,1125000,3.0
27,1100000,3.0
28,1100000,3.0
29,1100000,3.0
30,1100000,3.0
31,1095000,
32,1095000,2.0
33,1075000,3.0
34,1049000,3.0
35,1000000,2.0
36,1000000,3.0
37,1000000,1.0
38,999999,3.0
39,999999,
40,999999,4.0
41,995000,2.0
42,995000,2.0
43,985000,2.0
44,975000,3.0
45,975000,3.0
46,950000,2.0
47,950000,3.0
48,950000,2.0
49,950000,6.0
50,595000,4.0
51,940000,2.0
52,925000,3.0
53,925000,2.0
54,925000,2.0
55,910000,3.0
56,900000,3.0
57,900000,2.0
58,900000,6.0
59,900000,8.0
60,900000,7.0
61,900000,8.0
62,895000,2.0
63,895000,2.0
64,895000,2.0
65,885000,2.0
66,875000,2.0
67,875000,1.0
68,875000,3.0
69,850000,2.0
70,850000,3.0
71,850000,1.0
72,850000,1.0
73,850000,4.0
74,850000,3.0
75,328250,2.0
76,850000,6.0
77,849950,2.0
78,840000,2.0
79,830000,2.0
80,830000,2.0
81,825000,3.0
82,825000,
83,825000,1.0
84,825000,2.0
85,825000,8.0
86,800000,1.0
87,800000,2.0
88,800000,
89,800000,4.0
90,800000,5.0
91,799999,4.0
92,799950,1.0
93,799950,3.0
94,799950,3.0
95,795000,3.0
96,795000,2.0
97,795000,3.0
98,780000,3.0
99,780000,3.0
100,92950,
101,775000,3.0
102,775000,3.0
103,775000,
104,775000,4.0
105,775000,1.0
106,769000,2.0
107,760000,1.0
108,755000,2.0
109,750000,2.0
110,750000,1.0
111,750000,2.0
112,750000,4.0
113,750000,4.0
114,750000,2.0
115,750000,2.0
116,750000,2.0
117,750000,1.0
118,750000,
119,745000,3.0
120,735000,2.0
121,730000,5.0
122,725000,2.0
123,725000,2.0
124,725000,3.0
125,195000,1.0
126,720000,
127,715000,3.0
128,700000,4.0
129,700000,1.0
130,700000,2.0
131,700000,2.0
132,700000,2.0
133,700000,3.0
134,700000,2.0
135,700000,7.0
136,700000,8.0
137,700000,3.0
138,700000,
139,700000,3.0
140,700000,2.0
141,700000,5.0
142,700000,3.0
143,700000,2.0
144,699950,3.0
145,699950,3.0
146,699000,3.0
147,695000,3.0
148,695000,2.0
149,695000,2.0
150,695000,2.0
151,695000,1.0
152,695000,2.0
153,695000,2.0
154,685000,4.0
155,685000,1.0
156,680000,4.0
157,679950,3.0
158,675000,3.0
159,675000,2.0
160,675000,3.0
161,660000,2.0
162,655000,3.0
163,650000,4.0
164,650000,2.0
165,650000,3.0
166,650000,
167,650000,1.0
168,650000,4.0
169,650000,3.0
170,649950,3.0
171,649950,2.0
172,649950,2.0
173,635000,1.0
174,625000,3.0
175,190000,1.0
176,625000,2.0
177,625000,2.0
178,625000,2.0
179,625000,1.0
180,625000,2.0
181,625000,
182,625000,1.0
183,625000,2.0
184,625000,2.0
185,625000,2.0
186,625000,2.0
187,625000,2.0
188,625000,1.0
189,610000,1.0
190,610000,1.0
191,609000,2.0
192,600000,4.0
193,600000,3.0
194,600000,2.0
195,600000,3.0
196,600000,2.0
197,600000,1.0
198,600000,1.0
199,600000,2.0
200,365000,1.0
201,600000,2.0
202,600000,2.0
203,600000,1.0
204,600000,
205,599950,3.0
206,599950,2.0
207,599000,3.0
208,595000,
209,595000,2.0
210,595000,2.0
211,595000,2.0
212,595000,2.0
213,595000,4.0
214,595000,1.0
215,595000,6.0
216,595000,4.0
217,595000,2.0
218,595000,1.0
219,590000,3.0
220,585000,2.0
221,585000,1.0
222,580000,2.0
223,580000,1.0
224,575000,1.0
225,272995,
226,575000,2.0
227,575000,2.0
228,575000,2.0
229,575000,3.0
230,575000,2.0
231,575000,2.0
232,575000,2.0
233,575000,2.0
234,575000,2.0
235,575000,2.0
236,575000,3.0
237,565000,2.0
238,560000,2.0
239,560000,1.0
240,560000,2.0
241,555000,3.0
242,555000,1.0
243,550000,2.0
244,550000,
245,550000,2.0
246,550000,1.0
247,550000,1.0
248,550000,3.0
249,550000,7.0
250,325000,2.0
251,550000,1.0
252,550000,1.0
253,550000,2.0
254,550000,1.0
255,550000,2.0
256,550000,2.0
257,550000,2.0
258,550000,2.0
259,550000,4.0
260,550000,2.0
261,550000,2.0
262,550000,2.0
263,550000,2.0
264,550000,2.0
265,550000,1.0
266,550000,2.0
267,550000,2.0
268,550000,1.0
269,550000,3.0
270,550000,2.0
271,550000,3.0
272,550000,2.0
273,550000,2.0
274,550000,1.0
275,340000,1.0
276,550000,1.0
277,550000,2.0
278,550000,
279,545000,1.0
280,545000,1.0
281,540000,1.0
282,540000,2.0
283,535270,1.0
284,535000,2.0
285,535000,3.0
286,535000,2.0
287,535000,2.0
288,535000,2.0
289,535000,2.0
290,525000,1.0
291,525000,1.0
292,525000,3.0
293,525000,1.0
294,525000,2.0
295,525000,1.0
296,525000,1.0
297,525000,2.0
298,525000,2.0
299,525000,2.0
300,275000,2.0
301,520000,4.0
302,520000,4.0
303,520000,2.0
304,515000,2.0
305,515000,2.0
306,515000,2.0
307,515000,2.0
308,514995,
309,510000,2.0
310,510000,2.0
311,509000,2.0
312,505000,2.0
313,501610,
314,501610,2.0
315,500000,4.0
316,500000,2.0
317,500000,2.0
318,500000,
319,500000,2.0
320,500000,3.0
321,500000,2.0
322,500000,2.0
323,500000,3.0
324,500000,1.0
325,350000,1.0
326,500000,3.0
327,500000,2.0
328,500000,3.0
329,500000,1.0
330,500000,2.0
331,500000,2.0
332,500000,1.0
333,500000,2.0
334,500000,2.0
335,500000,
336,500000,2.0
337,500000,2.0
338,500000,4.0
339,500000,1.0
340,500000,2.0
341,500000,2.0
342,500000,
343,500000,3.0
344,500000,2.0
345,500000,2.0
346,500000,2.0
347,500000,1.0
348,500000,2.0
349,500000,2.0
350,425000,1.0
351,500000,1.0
352,499999,2.0
353,499995,2.0
354,499950,2.0
355,499950,
356,499950,3.0
357,499000,3.0
358,499000,3.0
359,499000,3.0
360,499000,2.0
361,495000,
362,495000,1.0
363,495000,
364,495000,
365,495000,
366,495000,2.0
367,495000,3.0
368,495000,1.0
369,495000,4.0
370,490000,
371,490000,2.0
372,490000,2.0
373,490000,2.0
374,490000,2.0
375,270000,1.0
376,490000,2.0
377,489000,1.0
378,485000,2.0
379,485000,2.0
380,485000,2.0
381,485000,3.0
382,480000,2.0
383,480000,2.0
384,479000,2.0
385,477500,2.0
386,475000,2.0
387,475000,1.0
388,475000,1.0
389,475000,1.0
390,475000,1.0
391,475000,1.0
392,475000,2.0
393,475000,2.0
394,475000,1.0
395,475000,3.0
396,475000,2.0
397,475000,1.0
398,475000,2.0
399,475000,1.0
400,295000,1.0
401,475000,2.0
402,475000,1.0
403,475000,2.0
404,475000,4.0
405,475000,1.0
406,475000,2.0
407,470000,2.0
408,469995,
409,469950,3.0
410,469000,2.0
411,467950,2.0
412,465500,2.0
413,465000,2.0
414,465000,3.0
415,465000,2.0
416,465000,2.0
417,465000,1.0
418,460000,2.0
419,460000,2.0
420,460000,2.0
421,460000,2.0
422,460000,2.0
423,460000,2.0
424,460000,1.0
425,295000,1.0
426,460000,3.0
427,457500,
428,455700,3.0
429,455000,1.0
430,452500,
431,450000,2.0
432,450000,3.0
433,450000,1.0
434,450000,1.0
435,450000,2.0
436,450000,2.0
437,450000,2.0
438,450000,1.0
439,450000,3.0
440,450000,
441,450000,
442,450000,3.0
443,450000,
444,450000,
445,450000,3.0
446,450000,2.0
447,450000,2.0
448,450000,2.0
449,450000,1.0
450,425000,1.0
451,450000,1.0
452,450000,1.0
453,450000,
454,450000,2.0
455,450000,
456,450000,2.0
457,450000,3.0
458,450000,1.0
459,450000,2.0
460,450000,3.0
461,450000,5.0
462,450000,1.0
463,450000,1.0
464,450000,2.0
465,450000,1.0
466,450000,1.0
467,450000,1.0
468,450000,1.0
469,450000,1.0
470,450000,2.0
471,449995,
472,449950,2.0
473,449950,2.0
474,449950,2.0
475,515000,2.0
476,449000,2.0
477,445000,2.0
478,445000,2.0
479,442995,2.0
480,441000,3.0
481,440000,1.0
482,440000,1.0
483,440000,2.0
484,440000,1.0
485,440000,2.0
486,440000,1.0
487,439995,3.0
488,435000,2.0
489,435000,1.0
490,435000,2.0
491,409000,2.0
492,435000,2.0
493,435000,1.0
494,435000,2.0
495,435000,1.0
496,435000,2.0
497,435000,2.0
498,435000,2.0
499,434349,2.0
500,434349,2.0
501,315000,1.0
502,430000,2.0
503,430000,1.0
504,429950,
505,425000,2.0
506,425000,1.0
507,425000,2.0
508,425000,2.0
509,425000,2.0
510,425000,1.0
511,425000,1.0
512,425000,2.0
513,425000,1.0
514,425000,1.0
515,425000,3.0
516,425000,3.0
517,425000,2.0
518,425000,2.0
519,425000,2.0
520,425000,1.0
521,425000,2.0
522,425000,2.0
523,425000,2.0
524,425000,1.0
525,425000,1.0
526,310000,1.0
527,425000,1.0
528,425000,2.0
529,425000,1.0
530,425000,1.0
531,425000,1.0
532,425000,1.0
533,425000,1.0
534,425000,
535,425000,2.0
536,425000,3.0
537,425000,1.0
538,425000,2.0
539,425000,1.0
540,425000,4.0
541,425000,2.0
542,422000,2.0
543,420000,2.0
544,420000,1.0
545,420000,1.0
546,420000,1.0
547,415000,1.0
548,415000,1.0
549,415000,2.0
550,415000,1.0
551,950000,3.0
552,415000,2.0
553,415000,2.0
554,415000,1.0
555,410000,2.0
556,410000,2.0
557,410000,2.0
558,410000,2.0
559,410000,2.0
560,410000,2.0
561,407000,1.0
562,405000,1.0
563,405000,2.0
564,402500,2.0
565,400000,3.0
566,400000,2.0
567,400000,2.0
568,400000,2.0
569,400000,2.0
570,400000,
571,400000,2.0
572,400000,5.0
573,400000,3.0
574,400000,2.0
575,365000,2.0
576,400000,2.0
577,400000,1.0
578,400000,1.0
579,400000,2.0
580,400000,2.0
581,400000,1.0
582,400000,2.0
583,400000,2.0
584,400000,
585,400000,1.0
586,400000,1.0
587,400000,1.0
588,400000,5.0
589,400000,1.0
590,400000,2.0
591,400000,1.0
592,400000,1.0
593,400000,2.0
594,400000,2.0
595,400000,2.0
596,400000,2.0
597,400000,2.0
598,400000,1.0
599,400000,1.0
600,850000,3.0
601,400000,2.0
602,400000,2.0
603,400000,1.0
604,400000,2.0
605,400000,
606,399950,
607,399950,
608,399950,3.0
609,399950,1.0
610,399950,2.0
611,399950,1.0
612,399950,4.0
613,399950,2.0
614,399950,2.0
615,399950,1.0
616,399950,2.0
617,399950,2.0
618,399900,3.0
619,399500,2.0
620,399000,2.0
621,399000,
622,399000,2.0
623,398000,2.0
624,397500,2.0
625,92950,
626,397500,2.0
627,397500,2.0
628,395000,2.0
629,395000,1.0
630,395000,1.0
631,395000,2.0
632,395000,2.0
633,395000,1.0
634,395000,1.0
635,395000,1.0
636,395000,1.0
637,395000,2.0
638,395000,2.0
639,395000,1.0
640,395000,1.0
641,395000,2.0
642,395000,2.0
643,390000,1.0
644,390000,1.0
645,390000,1.0
646,390000,2.0
647,390000,2.0
648,390000,2.0
649,390000,1.0
650,599000,3.0
651,390000,3.0
652,390000,2.0
653,390000,1.0
654,390000,2.0
655,390000,1.0
656,390000,2.0
657,390000,2.0
658,389995,
659,385000,3.0
660,385000,2.0
661,385000,2.0
662,385000,1.0
663,385000,2.0
664,385000,1.0
665,385000,1.0
666,385000,2.0
667,385000,2.0
668,385000,1.0
669,383824,2.0
670,382500,2.0
671,382500,2.0
672,381000,2.0
673,380000,2.0
674,380000,3.0
675,187000,1.0
676,380000,3.0
677,380000,2.0
678,380000,2.0
679,380000,3.0
680,380000,1.0
681,380000,3.0
682,380000,1.0
683,380000,1.0
684,380000,2.0
685,380000,2.0
686,380000,2.0
687,380000,2.0
688,380000,2.0
689,380000,2.0
690,380000,2.0
691,380000,1.0
692,379999,1.0
693,379950,1.0
694,379950,2.0
695,379500,1.0
696,378700,
697,376000,2.0
698,375000,1.0
699,375000,2.0
700,275000,1.0
701,375000,1.0
702,375000,1.0
703,375000,2.0
704,375000,1.0
705,375000,1.0
706,375000,1.0
707,375000,2.0
708,375000,1.0
709,375000,1.0
710,375000,2.0
711,375000,1.0
712,375000,1.0
713,375000,1.0
714,375000,1.0
715,375000,3.0
716,375000,1.0
717,375000,2.0
718,375000,2.0
719,375000,
720,375000,1.0
721,375000,1.0
722,375000,1.0
723,375000,2.0
724,375000,3.0
725,365000,2.0
726,375000,
727,375000,4.0
728,375000,2.0
729,375000,1.0
730,375000,3.0
731,375000,1.0
732,375000,2.0
733,375000,2.0
734,375000,2.0
735,375000,2.0
736,375000,2.0
737,375000,2.0
738,375000,2.0
739,375000,2.0
740,375000,2.0
741,374950,1.0
742,374950,1.0
743,373995,
744,373380,1.0
745,372950,2.0
746,370000,2.0
747,370000,2.0
748,370000,2.0
749,370000,2.0