Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
"Western Road, Sutton","£550,000",Semi-Detached,52.546875,-1.834824,3,1,
"Walsall Road, Perry Barr, Birmingham","£550,000",Semi-Detached,52.523834,-1.902781,5,3,
Alumrock,"£550,000",Detached,52.48683,-1.8306,4,7,"5,000 sq. ft."
"The Bank, Sheepcote Street, Birmingham B16","£325,000",Flat,52.4759,-1.9138u,2,2,
"Ellesboro Road, Harborne","£550,000",Semi-Detached,52.46681,-1.96227,3,1,"1,534 sq. ft."
"Moor End Lane, Erdington, Birmingham","£550,000",Semi-Detached,52.52437,-1.829102,5,1,
"Southam Road, Hall Green","£550,000",Semi-Detached,52.43714,-1.84947,4,2,
"Poppy Lane, Erdington, Birmingham","£550,000",House,52.528415,-1.819977,5,1,
"Pereira Road, Harborne","£550,000",Semi-Detached,52.464675,-1.952784,4,2,"1,431 sq. ft."
"Sheaf Lane, Birmingham","£550,000",Detached Bungalow,52.45448,-1.78231,5,2,
"Poundley Close, Birmingham","£550,000",Detached,52.5058,-1.77676,4,2,
"Southam Road, Hall Green","£550,000",Semi-Detached,52.43714,-1.84947,5,2,
"Groveley Lane, Cofton Hackett, Birmingham","£550,000",Detached,52.381931,-2.00074,4,4,"2,479 sq. ft."
"Queslett Road, Great Barr, Birmingham","£550,000",Detached,52.545841,-1.924093,4,2,
"Heaton House, Camden Street, Birmingham B1","£550,000",Town House,52.484382,-1.916344,3,2,
"The Copperworks, Birmingham","£550,000",Apartment,52.48602,-1.90969,3,2,"1,569 sq. ft."
"Hinstock Road, Birmingham, B20","£550,000",Detached,52.511761,-1.927594,4,2,
"Water Street, Birmingham","£550,000",Apartment,52.4852,-1.90291,2,2,"1,200 sq. ft."
"Gilchrist Drive, Birmingham","£550,000",Terraced,52.47012,-1.94034,4,1,
"Reservoir Road, Cofton Hackett, B45 8PJ","£550,000",Detached,52.376881,-1.995373,3,2,
"Walsall Road, Perry Barr, Birmingham","£550,000",Semi-Detached,52.52521,-1.90504,6,2,
"Boldmere Road, Sutton Coldfield, B73 5LP","£550,000",Detached,52.54027,-1.836973,4,1,
"Umberslade Road, Selly Oak, Birmingham","£550,000",House,52.435577,-1.928258,7,3,
"Wharfside Street, Birmingham","£550,000",Apartment,52.47487,-1.90706,2,2,
"Stockwell Road, Handsworth","£550,000",Detached,52.51561,-1.9388,5,3,
"Southam Road, Hall Green","£550,000",Detached,52.432369,-1.853455,5,2,
"The Whatecroft, Wentworth Road, Harborne, Birmingham, B17 9SY","£550,000",Semi-Detached,52.46153,-1.95856,3,2,
"Boldmere Road, Boldmere","£550,000",Detached,52.54024,-1.83703,4,1,
"Addison Road, Kings Heath, Birmingham","£340,000",Terraced,52.431232,-1.890586,3,1,
"Boldmere Road, Boldmere","£550,000",Detached,52.54024,-1.83703,4,1,
"Fitz Roy Avenue, Birmingham, B17","£550,000",Bungalow,52.466119,-1.978687,4,2,
"33 Alcester Road, Moseley, Birmingham, B13 8AP","£550,000",Semi-Detached,52.452263,-1.888015,6,,
"Blenheim Road, Moseley, Birmingham, B13","£545,000",Semi-Detached,52.438295,-1.887025,4,1,
"Clarence Road, Moseley, Birmingham, B13","£545,000",Terraced,52.439118,-1.881735,5,1,
"Fernwood Road, Sutton Coldfield, B73","£540,000",Detached,52.543655,-1.84875,4,1,
"Haunch Lane, Birmingham, West Midlands, B13","£540,000",Semi-Detached,52.421895,-1.882868,6,2,
"Sheepcote Street, Birmingham, B16","£535,270",Apartment,52.47595,-1.91398,2,1,812 sq. ft.
"The Copperworks, Birmingham","£535,000",Apartment,52.4853,-1.91764,3,2,"1,307 sq. ft."
"Fairholme Road, Birmingham","£535,000",Detached,52.50121,-1.82628,5,3,
"Newton Road, Great Barr, Birmingham","£535,000",Detached,52.543369,-1.953222,4,2,
"Barron Road, Northfield, Birmingham","£535,000",Semi-Detached,52.411231,-1.958951,5,2,
"Shelsley Drive. Moseley, Birmingham","£535,000",Detached,52.440393,-1.873207,4,2,
"Martineau Drive, Harborne, Birmingham","£535,000",House,52.461647,-1.977112,4,2,
"Teazel Avenue, Birmingham","£525,000",House,52.424571,-1.945185,4,1,
"Middle Park Close, Bournville Village Trust, Selly Oak, Birmingham, B29","£525,000",Semi-Detached,52.4343,-1.958062,3,1,
"Walter Cobb Drive, Sutton Coldfield, B73 5QR","£525,000",Semi-Detached,52.54715,-1.833584,7,3,
"Wyemanton Close, Great Barr, Birmingham","£525,000",Detached,52.5447,-1.952739,3,1,
Belmont Row Birmingham B4 7RQ,"£525,000",Apartment,52.48393,-1.88201,2,2,773 sq. ft.
"Middle Park Road, Bournville Village Trust, Selly Oak, Birmingham, B29","£525,000",Semi-Detached,52.431995,-1.953962,3,1,
"Monument Road, Edgbaston, Birmingham","£525,000",Terraced,52.47309,-1.93076,5,1,"2,441 sq. ft."
"Morris Road, Birmingham, B8","£525,000",Semi-Detached,52.495o,-1.82173u,5,2,"1,981 sq. ft."
63-64 Water Street,"£525,000",Apartment,52.4852,-1.90291,2,2,"1,150 sq. ft."
Reliance Works,"£525,000",Apartment,52.48692,-1.90865,2,2,"1,302 sq. ft."
"Weston Road, Bearwood, West Midlands, B67","£275,000",End of Terrace,52.476475,-1.974353,3,2,
"South Road, Hockley, Birmingham, B18","£520,000",Terraced,52.49681,-1.92012,6,4,
"Kingsbury Road, Erdington, Birmingham","£520,000",End of Terrace,52.51302,-1.85084,11,4,
"Yardley Wood Road, Moseley, Birmingham, B13","£520,000",Semi-Detached,52.449593,-1.873093,4,2,
"Comet Works, Birmingham City Centre","£515,000",Apartment,52.487499,-1.89567,2,2,
"Garden House, 190 Harborne Road, Edgbaston","£515,000",Apartment,52.46293,-1.9377,2,2,"1,185 sq. ft."
"Badge Works, Tenby Street, Birmingham, B1 3EE","£515,000",Town House,52.48575,-1.91351,3,2,"1,218 sq. ft."
"Martyn Smith Close, Great Barr, Birmingham","£515,000",Detached,52.547779,-1.95362,4,2,
"East Works Drive, Cofton Hackett, B45 8GX","£514,995",Detached,52.38231,-1.98688,4,,
"Lordswood Road, Birmingham, West Midlands, B17 9BT","£510,000",Semi-Detached,52.4643,-1.96552,3,2,
Reliance Works,"£510,000",Apartment,52.48692,-1.90865,2,2,"1,301 sq. ft."
"The Barker, Shadwell Street, Birmingham","£509,000",Apartment,52.48582,-1.899661,3,2,"1,101 sq. ft."
Belmont Row Birmingham B4 7RQ,"£505,000",Apartment,52.48393,-1.88201,2,2,773 sq. ft.
"The Bank, Birmingham, B15","£501,610",Flat,52.4759,-1.9138u,3,,
"The Bank Tower 2, Sheepcote Street, Birmingham, B15","£501,610",Apartment,52.47568,-1.91383,3,2,
"Wye Cliff Road, Handsworth, Birmingham, B20 3TB","£500,000",Semi-Detached,52.50517,-1.9179,6,4,
"Heaton House, Camden Street, Birmingham B1","£500,000",Town House,52.484382,-1.916344,3,2,
"Jevons Road, Sutton Coldfield, B73 6QH","£500,000",Detached,52.55395,-1.862444,4,2,
"Pickwick Grove, Birmingham","£500,000",Detached,52.441593,-1.86277,6,,"1,977 sq. ft."
"St. Martins Place, 169 Broad Street, Birmingham City Centre","£500,000",Apartment,52.47182,-1.91325,3,2,"1,378 sq. ft."
"Rosedene Drive, Handsworth Wood","£500,000",Detached,52.51462,-1.93158,6,3,
"The Pressworks 40 - 44 Northwood Street, Birmingham","£500,000",House,52.486618,-1.906591,2,2,
"Eastern Road, Sutton Coldfield","£500,000",Semi-Detached,52.54788,-1.830697,4,2,
2F Truemans Heath Lane,"£500,000",Bungalow,52.392351,-1.869766,3,3,
"Beeches Road, BIRMINGHAM","£500,000",Detached Bungalow,52.53619,-1.91519,4,1,
"Hannon Road, Kings Heath","£350,000",Semi-Detached,52.420639,-1.897983,3,1,
2E Truemans Heath Lane,"£500,000",Bungalow,52.392351,-1.869766,3,3,
"Ashmead Rise, Cofton Hackett, Birmingham, Worcestershire, B45","£500,000",Detached,52.378678,-1.996899,5,2,
"South Loop Park, Port Loop, Birmingham","£500,000",Town House,52.481491,-1.928903,4,3,
"Devonshire Road, Handsworth Wood, Birmingham, B20 2PQ","£500,000",Semi-Detached,52.51665,-1.92876,6,1,
"Lelant Grove, Birmingham, West Midlands, B17","£500,000",Semi-Detached,52.457299,-1.96897,4,2,
"The Pressworks, Northwood Street, Jewellery Quarter, Birmingham","£500,000",Mews,52.48566,-1.90866,2,2,
"Buxton Road, Sutton Coldfield, B73 5RS","£500,000",Semi-Detached,52.54274,-1.834247,5,1,
"Broad Lane, Birmingham, B14","£500,000",Detached,52.41453,-1.89116,4,2,
The Pressworks,"£500,000",Mews,52.487o,-1.90674u,2,2,"1,061 sq. ft."
"Clarence Road, Harborne, Birmingham, B17 9LA","£500,000",End of Terrace,52.46173,-1.945613,3,,
"Heeley Road, Selly Oak, Birmingham, B296EJ","£500,000",Terraced,52.44009,-1.93243,6,2,
"Livingstone Road, Kings Heath Birmingham, B14","£500,000",Semi-Detached,52.423656,-1.896298,4,2,
"Middle Park Road, Birmingham, West Midlands, B29 4BE","£500,000",Semi-Detached,52.430602,-1.95128,4,4,"1,800 sq. ft."
"Claines Road, Bournville, Birmingham","£500,000",Semi-Detached,52.417179,-1.952301,3,1,
"Beaufort Drive, Hodge Hill, Birmingham","£500,000",Semi-Detached,52.49588,-1.81392,5,2,
"New Hampton Lofts, 99 Branston Street","£500,000",Apartment,52.489959,-1.909908,2,2,
"Slade Road, Birmingham, B23","£500,000",Semi-Detached,52.51941,-1.8573,10,,
"Orphanage Road, Birmingham","£500,000",Detached,52.52747,-1.83148,4,3,
"St Martins Place, Broad Street, Birmingham, B15","£500,000",Apartment,52.473574,-1.916829,3,2,"1,397 sq. ft."
"Hubert Road, Selly Oak, Birmingham, B29 6ET","£500,000",Terraced,52.44018,-1.93096,6,2,
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15","£500,000",Mews,52.46779,-1.943654,2,2,
"Bunbury Road, Northfield, Birmingham, B31","£500,000",Detached,52.415076,-1.954883,3,1,
"Jockey Road, Sutton Coldfield, B73","£500,000",Detached,52.548759,-1.853923,4,2,
"Coleshill Road, Birmingham","£500,000",Semi-Detached,52.49588,-1.81392,5,2,
"Birmingham Road,Sutton Coldfield ,B72 1DP","£425,000",Semi-Detached,52.539356,-1.826774,3,1,
"Buxton Road, Sutton Coldfield","£500,000",House,52.542797,-1.83401,5,1,
"Anderton Park Road, Birmingham, B13","£499,999",,52.450216,-1.874233,5,2,
"Groveley Lane, Cofton Hackett, Birmingham, Worcestershire, B45","£499,995",Semi-Detached,52.381877,-1.991646,4,2,
"Broad Street, Birmingham, B16","£499,950",Apartment,52.476425,-1.9146,3,2,"1,207 sq. ft."
"Featherstone Road, Birmingham, West Midlands, B14","£499,950",Semi-Detached,52.425134,-1.894421,4,,
"Sterling House, Caroline Street","£499,950",Apartment,52.48562,-1.90734,3,3,"1,130 sq. ft."
"The Copperworks, Birmingham","£499,000",Apartment,52.48602,-1.90969,3,3,"1,270 sq. ft."
"The Copperworks, Birmingham","£499,000",Apartment,52.4853,-1.91764,3,3,"1,270 sq. ft."
The Copperworks,"£499,000",Town House,52.48449,-1.91352,3,3,"1,270 sq. ft."
"Queslett Road, Great Barr, BIRMINGHAM, B43","£499,000",Detached,52.549017,-1.915346,5,2,
"Martineau Drive, Harborne, Birmingham, B32 2AS","£495,000",Town House,52.462784,-1.97769,4,,
"Reservoir Road, Cofton Hackett, Birmingham, Worcestershire, B45","£495,000",Detached,52.376837,-1.997454,3,1,
"Martineau Drive, Harborne, Birmingham, B32 2AS","£495,000",Town House,52.462784,-1.97769,4,,
"Manor Road North, Edgbaston, Birmingham, B16 9JS","£495,000",Semi-Detached,52.474457,-1.9483,4,,
"239 Alcester Road, Moseley, Birmingham, B13 8PY","£495,000",Detached,52.441536,-1.892475,4,,
"Leach Green Lane, Rednal, Birmingham","£495,000",Detached,52.388916,-2.007529,4,2,"2,704 sq. ft."
"The Copperworks, 3 Sloane Street, Birmingham B1 3DZ","£495,000",Town House,52.483367,-1.913024,3,3,
"Weeford Drive, Birmingham, B20","£495,000",Detached,52.523452,-1.933642,4,1,
"Sandon Road, Birmingham","£495,000",End of Terrace,52.47553,-1.96536,4,4,
"Martineau Gardens, Harborne, Birmingham, B32 2EH","£490,000",Mews,52.462784,-1.97769,4,,
"Birmingham Road,Water Orton,B46 1TL","£490,000",Detached,52.517857,-1.743507,5,2,
"Ashtree Court, Birmingham","£490,000",Detached,52.40512,-1.92279,4,2,
"Grosvenor Road, Harborne, Birmingham","£490,000",Terraced,52.461311,-1.967931,5,2,
"Wharfside Street, BIRMINGHAM","£490,000",Apartment,52.47487,-1.90706,2,2,
"Outmore Road, Birmingham","£270,000",Semi-Detached,52.47641,-1.78176,3,1,
"Wharfside Street, BIRMINGHAM","£490,000",Apartment,52.47487,-1.90706,2,2,
"Bagnell Road, Birmingham, B13","£489,000",Detached,52.42963,-1.88583,4,1,
"The Copperworks, Birmingham","£485,000",Apartment,52.4853,-1.91764,3,2,"1,170 sq. ft."
"Haselor Road, Sutton Coldfield, B73","£485,000",Semi-Detached,52.545714,-1.849037,5,2,
"Painswick Road, Birmingham, B28","£485,000",Semi-Detached,52.42788,-1.84686,5,2,
"Woodchurch Grange, Sutton Coldfield, B73 5GA","£485,000",Detached,52.54041,-1.841576,4,3,
"Oakwood Road, Birmingham, B47","£480,000",Detached,52.388527,-1.883292,4,2,
The Pressworks,"£480,000",Apartment,52.487o,-1.90674u,2,2,"1,113 sq. ft."
"Photographic Works, 37-55 Camden Street, Birmingham, B1","£479,000",Duplex,52.482846,-1.912942,3,2,
"Priory House, Gooch Street North","£477,500",Apartment,52.47117,-1.89647,2,2,
"Harrow Road, Birmingham","£475,000",House,52.445865,-1.93082,5,2,
"Dalkeith Road, Sutton Coldfield, B73 6PW","£475,000",Semi-Detached,52.55121,-1.852945,3,1,
"Mulberry Road, Bournville, Birmingham","£475,000",Semi-Detached,52.421287,-1.949873,3,1,
"May Lane, Kings Heath, Birmingham, B14","£475,000",Detached,52.420563,-1.886777,3,1,
"Castle Hills Drive, Castle Bromwich, Birmingham, B36","£475,000",Detached,52.503752,-1.791756,4,1,
"Hole Lane, Bournville Village Trust, Northfield, Birmingham, B31","£475,000",Semi-Detached,52.416075,-1.954819,3,1,
"Parkfield Drive, Castle Bromwich","£475,000",Detached,52.51181,-1.76877,5,2,
"Stanmore Road, Edgbaston, Birmingham","£475,000",Semi-Detached,52.477966,-1.950589,3,2,
"Falstone Road, Sutton Coldfield","£475,000",Semi-Detached,52.55123,-1.85513,3,1,
"Court Oak Road, Birmingham","£475,000",House,52.459915,-1.962954,3,3,
"Northfield Road, Kings Norton / Bournville, Birmingham","£475,000",Semi-Detached,52.416175,-1.946955,3,2,
"Alcester Road South, Kings Heath, Birmingham, B14","£475,000",Detached,52.417702,-1.891357,3,1,
"Linden Road, Bournville, Birmingham","£475,000",Semi-Detached,52.431648,-1.93706,3,2,
"Harborne Park Road, Harborne","£475,000",Detached Bungalow,52.453286,-1.953983,3,1,
"Garnet Avenue, Great Barr, Birmingham B43 7RJ","£295,000",Semi-Detached,52.557388,-1.913728,3,1,
"Parkfield Drive, Birmingham","£475,000",Detached,52.51181,-1.76877,5,2,
"Alcester Road South, Birmingham, West Midlands, B14","£475,000",Semi-Detached,52.424349,-1.892721,4,1,
"Foxfield, Northfield, Birmingham","£475,000",House,52.417697,-1.975694,4,2,
"Shawhurst Lane, Birmingham, B47","£475,000",Semi-Detached,52.390758,-1.877126,5,4,
"New Road, Water Orton, Birmingham","£475,000",Detached,52.517448,-1.737608,4,1,
"Chester Road, Sutton Coldfield","£475,000",Semi-Detached,52.5416,-1.84543,4,2,
"King Edwards Wharf, 25 Sheepcote Street, B16 8AT","£470,000",Apartment,52.47847,-1.91795,2,2,"1,272 sq. ft."
"East Works Drive, Cofton Hackett, B45 8GX","£469,995",Detached,52.38231,-1.98688,4,,
"Bibsworth Avenue, Moseley, Birmingham, B13","£469,950",Detached,52.432811,-1.859871,6,3,
"B4 Fully Managed Apartments, Birmingham","£469,000",Apartment,52.48789,-1.89481,3,2,
"B4 Fully Managed Apartments, Birmingham","£467,950",Apartment,52.48789,-1.89481,3,2,
"B4 Fully Managed Apartments, Birmingham","£465,500",Apartment,52.48789,-1.89481,3,2,
"Beacon Hill, Rednal, Birmingham, B45 9QP","£465,000",Detached,52.388351,-2.018822,4,2,
"Sherlock Street, Birmingham","£465,000",House,52.4683,-1.89618,3,3,
"South Loop Green, Edgbaston","£465,000",Town House,52.4827,-1.92751,4,2,"1,537 sq. ft."
"B4 Apartments, Birmingham","£465,000",Apartment,52.48789,-1.89481,3,2,
"Heath Road South, Bournville Village Trust, Northfield, Birmingham, B31","£465,000",Semi-Detached,52.416189,-1.963127,4,1,
"Dyas Avenue, Great Barr, Birmingham, B42 1HL","£460,000",Terraced,52.536144,-1.928129,7,2,
"Marshall Street, Birmingham, West Midlands, B1","£460,000",Flat,52.473949,-1.903963,2,2,
"The Copperworks, Birmingham","£460,000",Apartment,52.4853,-1.91764,3,2,"1,145 sq. ft."
"Priory House Lofts, Gooch Street North, Birmingham, B5","£460,000",Duplex,52.472018,-1.897175,3,2,
"The Copperworks, Birmingham","£460,000",Apartment,52.4853,-1.91764,3,2,"1,145 sq. ft."
The Copperworks,"£460,000",Town House,52.48449,-1.91352,3,2,"1,150 sq. ft."
"Somerdale Road, Bournville Village Trust, Northfield, Birmingham, B31","£460,000",Semi-Detached,52.41765,-1.949991,3,1,
"Garnet Avenue, Great Barr, Birmingham B43 7RJ","£295,000",Semi-Detached,52.557388,-1.913728,3,1,
"B1 City Centre, Birmingham","£460,000",Apartment,52.48341,-1.91146,3,3,
"Shadwell Street, Birmingham, B4","£457,500",Flat,52.48709,-1.89717,4,,903 sq. ft.
"B4 Apartments, Birmingham","£455,700",Apartment,52.48789,-1.89481,3,3,
"North Gate, Birmingham","£455,000",End of Terrace,52.463882,-1.955487,3,1,
"Birmingham, B4","£452,500",Flat,52.48709,-1.89717,3,,903 sq. ft.
"Westridge Road,Birmingham,B13 0EB","£450,000",Semi-Detached,52.423794,-1.862211,5,2,"1,883 sq. ft."
"Warwards Lane, Birmingham","£450,000",Semi-Detached,52.436973,-1.925194,8,3,
"Markham Road, Sutton Coldfield, B73","£450,000",Detached Bungalow,52.555521,-1.86222,3,1,
"Sherborne Wharf, Birmingham","£450,000",Apartment,52.47676,-1.91692,,1,"1,410 sq. ft."
"Stechford Lane, Birmingham","£450,000",Semi-Detached,52.49041,-1.81689,5,2,
"Dale Road, Birmingham","£450,000",House,52.445693,-1.934967,5,2,
"Gibson Road, Birmingham","£450,000",Detached,52.50661,-1.9176,5,2,
"Chestnut Drive, Erdington, Birmingham, B24 0DP","£450,000",Detached,52.524597,-1.820892,3,1,
"Arden Road, Acocks Green, Birmingham, B27","£450,000",Semi-Detached,52.45105,-1.82912,6,3,
"Green Meadow Road, Bournville Village Trust, Selly Oak, Birmingham, B29","£450,000",Semi-Detached,52.431638,-1.963596,3,,
"High Street-9.4% Rental Yield -£42,500 Rental Income, Erdington, Birmingham, B23","£450,000",,52.52244,-1.84093,,,
Osborne House,"£450,000",Apartment,52.48476,-1.91116,3,3,"1,334 sq. ft."
"Green Lanes, Wylde Green, Sutton Coldfield","£450,000",House,52.539775,-1.829818,3,,
"High Brow, Harborne, Birmingham, B17 9EW","£450,000",Terraced,52.46385,-1.957093,3,,
"Brookvale Mews, Birmingham","£450,000",House of Multiple Occupation,52.444519,-1.913845,5,3,
"Wheelwright Road, Erdington, Birmingham, B24 8PJ","£450,000",Semi-Detached,52.512154,-1.846979,6,2,
"Hinstock Road, Birmingham","£450,000",Semi-Detached,52.51084,-1.92908,6,2,
"Highbridge Road, Sutton Coldfield, West Midlands, B73","£450,000",Bungalow,52.547206,-1.83736,3,2,
"Halton Road, Sutton Coldfield, B73 6NZ","£450,000",Semi-Detached,52.55365,-1.854957,3,1,
"Lordswood Road, Harborne","£425,000",Semi-Detached,52.461729,-1.963033,3,1,
"Halton Road, Sutton Coldfield, B73 6NZ","£450,000",Semi-Detached,52.55365,-1.854957,3,1,
"May Lane, Kings Heath, Birmingham, B14","£450,000",Detached,52.419441,-1.882994,3,1,
"Beech Road, Harborne, Birmingham, B17 9TD","£450,000",Mews,52.458912,-1.967269,3,,
"Beaumont Road, Bournville, Birmingham, B30","£450,000",Terraced,52.423561,-1.934258,4,2,
"Edward Road, Balsall Heath, Birmingham, B12","£450,000",Terraced,52.457548,-1.891487,,,
"The Lightwell, 61 Cornwall Street, B3 2EE","£450,000",Apartment,52.48241,-1.901904,2,2,"1,033 sq. ft."
"Bournbrook Road, Birmingham, West Midlands, B29","£450,000",Semi-Detached,52.44321,-1.92678,5,3,
"Devereux Close, Birmingham, B36","£450,000",Detached,52.50661,-1.78043,4,1,
"Highbridge Road, Boldmere, Sutton Coldfield, B73 5QU","£450,000",Detached,52.547142,-1.838054,3,2,
"Raddlebarn Road, Birmingham","£450,000",House,52.439109,-1.926917,5,3,
"Holywell Lane, Rednal, Birmingham","£450,000",House,52.390014,-2.030697,7,5,
"Highbridge Road, Sutton Coldfield, West Midlands, B73","£450,000",End of Terrace,52.547206,-1.83736,3,1,
"New Street, Birmingham, B36","£450,000",Semi-Detached,52.504239,-1.78284,4,1,
"Woodland Road, Birmingham, B31","£450,000",Semi-Detached,52.410215,-1.963122,4,2,
"Antrobus Road, Sutton Coldfield, B73 5EN","£450,000",Semi-Detached,52.54646,-1.843278,3,1,
"Moor Pool Avenue, Birmingham","£450,000",House,52.46202,-1.954161,3,1,
"Highbridge Road, Sutton Coldfield, B73 5QU","£450,000",End of Terrace,52.547142,-1.838054,3,1,
"Stirling Road, Sutton Coldfield","£450,000",Semi-Detached,52.54979,-1.85307,3,1,
"Dark Lane, Hollywood","£450,000",Semi-Detached,52.395877,-1.886265,3,1,
"Hubert Road, Birmingham","£450,000",House,52.442916,-1.934108,5,2,
"East Works Drive, Cofton Hackett, B45 8GX","£449,995",Detached,52.38231,-1.98688,3,,
"Sydenham Place, Tenby Street, Jewellery Quarter, B1","£449,950",Penthouse,52.48575,-1.91351,3,2,
"Sydenham Place, 26B Tenby Street , Jewellery Quarter","£449,950",Penthouse,52.48575,-1.91351,3,2,"1,281 sq. ft."
"Sydenham Place, Jewellery Quarter, B1","£449,950",Penthouse,52.486138,-1.913678,2,2,"1,280 sq. ft."
"Badge Works, Tenby Street, Birmingham, B1 3EE","£515,000",Town House,52.48575,-1.91351,3,2,"1,218 sq. ft."
"Regent Place, Birmingham, B1","£449,000",Apartment,52.48602,-1.90969,2,2,
"College Road, Sutton Coldfield, B73","£445,000",Semi-Detached,52.548253,-1.852155,3,2,
"Birmingham Buy to Let Investment, Birmingham","£445,000",Apartment,52.48367,-1.89261,3,2,
"Birmingham Buy to Let Investment, Birmingham","£442,995",Apartment,52.48367,-1.89261,3,2,
"Birmingham Buy to Let Investment, Birmingham","£441,000",Apartment,52.48367,-1.89261,3,3,
"Arden Road, Birmingham, B27","£440,000",Semi-Detached,52.450793,-1.825776,5,1,
"Dunchurch Crescent, Sutton Coldfield","£440,000",Detached Bungalow,52.5554,-1.867179,3,1,
"Laburnum Way, Northfield, Birmingham, B31","£440,000",Detached,52.401157,-1.971613,3,2,
"Hollywood Lane, Hollywood","£440,000",Semi-Detached,52.3942,-1.87475,3,1,
"Edenhall Road, Quinton, Birmingham, West Midlands","£440,000",Link Detached House,52.46028,-2.001554,4,2,
"Anderton Road, Birmingham, B11","£440,000",Terraced,52.461582,-1.868489,6,1,
"Maple Road, Rednal, Birmingham","£439,995",Detached,52.38977,-2.02067,4,3,
"Lordswood Road, Harborne, Birmingham, B17 9BL","£435,000",End of Terrace,52.462814,-1.963924,3,2,
"Chestnut Drive, Erdington, Birmingham, B24 0DN","£435,000",Detached,52.525822,-1.822052,3,1,
Reliance Works,"£435,000",Town House,52.48692,-1.90865,2,2,"1,152 sq. ft."
"1 - 4 Great Hampton Street, Birmingham, B18 6AQ","£409,000",Apartment,52.48907,-1.90747,2,2,805 sq. ft.
"The Royal Arch (Mailbox), Wharfside Street, Birmingham, B1 1RG","£435,000",Penthouse,52.475782,-1.904659,2,2,"1,355 sq. ft."
"Quarry Lane, Birmingham","£435,000",Detached,52.407604,-1.967748,3,1,
"Sherborne Lofts, 33 Grosvenor Street West, Brindley Place","£435,000",Apartment,52.47676,-1.91692,2,2,"1,220 sq. ft."
"Avery Road, Sutton Coldfield","£435,000",Detached,52.5527,-1.862759,4,1,
"Welford Road, Sutton Coldfield, B73 5DP","£435,000",Semi-Detached,52.54646,-1.850024,4,2,
"Barnsley Road, Birmingham","£435,000",Semi-Detached,52.47454,-1.965902,4,2,
